Product Name,Product Price,Review
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,799,4.0
"realme Buds T110 with AI ENC for calls, upto 38 hours o...",1099,4.2
OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,1299,4.3
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...",999,4.1
boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,699,4.0
Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...,7499,4.5
Apple AirPods Pro (2nd generation) with MagSafe Case (U...,17999,4.6
boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,1398,4.1
"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...",1799,4.3
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",599,4.1
OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,1599,4.3
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...",1199,4.1
"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spat...",1699,4.3
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",799,4.0
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...",1099,4.1
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume ...",4499,4.5
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,799,4.0
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",799,4.1
"truke Buds Q1 Lite with Quad-Mic ENC, 48H Playtime, Roy...",599,4.0
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,799,4.0
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",799,4.1
OnePlus Nord Buds 2 Earbuds with 25dB Active Noise Canc...,1999,4.3
"Mivi DuoPods K2 TWS,AI-ENC,40Hr Playtime,13mm Bass,Made...",599,3.9
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",799,4.0
"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...",799,4.1
"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...",999,4.0
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",899,4.0
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",799,4.0
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...",1099,4.1
"boAt Immortal 161 w/ Beast Mode(40ms Low Latency), 40 H...",899,4.0
boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,1398,4.1
boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,699,4.0
"boAt Immortal 131 w/ Beast Mode(40ms Low Latency), 40 H...",1099,4.0
"Mivi SuperPods Opera earbuds [Flagship Launch], Hi-res ...",1499,4.8
"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",749,4.0
OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,1599,4.3
boAt Airdopes 131 Elite ANC w/ Active Noise Cancellatio...,1099,4.0
"Mivi DuoPods i6 TWS, Engineered for Athletes, IPX 4.0,1...",699,4.3
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,799,4.0
